GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Total_Forest_Area (ha)
Village Council,Kathiram Bari,548.7281058,West Tripura,Jirania,Mandwi,Burakha,Shibnagar,2020,6.99,13,27.12,8.15,55.26
Village Council,Hamari Bodal,889.0235857,Khowai,Teliamura,Mungiakami,Atharamura,Sriramkhara,2020,130.49,116.45,57.66,123.68,428.28
Village Council,Yeakbaksa Bodal,692.2849676,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,101.18,113.65,24.45,216.3,455.58
Village Council,Yakhrai Bodal,730.4677594,Khowai,Teliamura,Kalyanpur,Kalyanpur,Ruprai,2020,129.84,121.74,24.81,208.84,485.23
Village Council,Matai Para,345.9617924,Khowai,Teliamura,Kalyanpur,Kalyanpur,Rajani Sardar Para,2020,25.99,29.46,16.09,35.6,107.14
Village Council,Hamkrai Bodal,567.2231095,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,142.98,100.59,28.46,95.01,367.04
Village Council,Lamsokjak Bodal,1169.606884,Khowai,Teliamura,Mungiakami,Maharanipur,Sriramkhara,2020,161.7,140.28,82.71,126.92,511.61
Village Council,Triprabasti,718.4092429,Khowai,Teliamura,Mungiakami,Atharamura,Atharamura,2020,150.35,148.72,24.89,208.06,532.02
Village Council,Twisamungkwrwi,254.1611871,West Tripura,Mohanpur,Subalsing,Chandpur,East Chandpur,2020,18.67,24.68,13.27,24.05,80.67
Village Council,Kaithorai,1687.800184,Khowai,Teliamura,Kalyanpur,Kalyanpur,West Kunjaban,2020,167.81,167.65,105.1,230.58,671.14
Village Council,Khengra Para,498.0057867,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,44.06,60.97,35.25,76.05,216.33
Village Council,Jamilwng,369.7294727,West Tripura,Mohanpur,Subalsing,Chandpur,Tuichamongkarai,2020,37.35,36.21,37.51,52.05,163.12
