GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,FCD_Scrub_Land_ha,FCD_Open_Forest_ha,FCD_Moderate_Dense_Forest_ha,FCD_Very_Dense_Forest_ha,Year,Total_Veg_FCD_ha
Gram Panchayet,Madhya Pilak,758.484846032,South Tripura,Santirbazar,Kakulia,Abhanga,South Jolaibari,48.36,174.7,190.35,164.08,2020,577.49
Village Council,Mohininagar,795.769978331,South Tripura,Belonia,Hrishyamukh,Motai,Mohini Nagar,7.64,54.55,80.13,341.16,2020,483.48
Gram Panchayet,Joykatpur,733.815354216,South Tripura,Belonia,Hrishyamukh,Motai,Baspadua,93.87,171.77,189.91,139.8,2020,595.35
Village Council,Khorangbaksha,1148.00517798,South Tripura,Belonia,Kakulia,Manirambari,Shibpur,159.3,227.47,232.42,247.92,2020,867.11
Village Council,Pohar,1602.85924483,South Tripura,Santirbazar,Kakulia,Srikantabari,Tuirbhuma Kowaifung,7.92,99.1,244.27,399.35,2020,750.64
Gram Panchayet,Kathalia,1385.90510724,South Tripura,Santirbazar,Kakulia,Muhuripur,Muhuripur,240.98,391.84,282.41,299.51,2020,1214.74
Village Council,Ambuchai,592.837673005,South Tripura,Belonia,Hrishyamukh,Ratanpur,Ratanpur,58.22,114.76,114.93,147.04,2020,434.95
Gram Panchayet,Khunati,1442.23013254,South Tripura,Santirbazar,Kakulia,Kakulia,Muhuripur R.F.,212.45,288.73,301.85,327.69,2020,1130.72
Gram Panchayet,Kasta Kumar Para,1104.2153466,South Tripura,Santirbazar,Kakulia,Srikantabari,North Jolaibari,50.91,181.45,223.8,301.3,2020,757.46
Gram Panchayet,Sakyamuni,752.264378597,South Tripura,Santirbazar,Kakulia,Kakulia,Latua Tilla,66.29,226.73,234.02,146.15,2020,673.19
Gram Panchayet,Gaburchara,341.116399955,South Tripura,Belonia,Hrishyamukh,Ratanpur,North Sarashima,81.66,88.58,59.47,44.77,2020,274.48
Village Council,Sanghati,893.876368877,South Tripura,Belonia,Hrishyamukh,Ratanpur,Gaburcherra,73.6,177.02,170.77,250.66,2020,672.05
Village Council,Khumthaima,615.063500273,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,10.65,41.26,70.61,226.58,2020,349.1
Village Council,Twisawatalok,862.388207809,South Tripura,Santirbazar,Kakulia,Kalashi,Kalshimukh,30.1,104.63,154.36,278.77,2020,567.86
Village Council,Vaktiram,422.330906142,South Tripura,Santirbazar,Bagafa,Laxmicherra,Baikhora,8.81,34.25,66.35,163.28,2020,272.69
Gram Panchayet,Swrangdi,1433.46054891,South Tripura,Belonia,Bagafa,Santirbazar,Gardhang,204.51,418.3,300.3,263.35,2020,1186.46
Village Council,Yakalam,1633.77252567,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,44.61,143.9,168.69,634.68,2020,991.88
,Raikalam,247.275454696,South Tripura,Santirbazar,Bagafa,Bagafa,,4.34,14.03,24.55,91.54,2020,134.46
Village Council,Laxmicherra,1842.4554739,South Tripura,Santirbazar,Bagafa,Laxmicherra,Laxmicherra,7.05,67.46,200.65,660.51,2020,935.67
Village Council,Pragati,402.764040818,South Tripura,Santirbazar,Bagafa,Santirbazar,Kathaliacherra,31.85,64.59,116.17,139.97,2020,352.58
Village Council,Rabithakur,658.744148845,Sepahijala,Sonamura,Kathalai,Kathalai,Manaipathar,119.13,197.56,161.85,63.09,2020,541.63
Village Council,Agragati,1325.87281894,South Tripura,Santirbazar,Bagafa,Bagafa,Madhya Kathalia,14.87,78.7,113.72,571.22,2020,778.51
Gram Panchayet,Maitry,509.009811421,Sepahijala,Sonamura,Kathalai,Jatrapur,South Maheshpur,81.64,149.33,130.31,82.34,2020,443.62
Village Council,Twisawaklou,761.369388166,South Tripura,Santirbazar,Bagafa,Patichari,Rajapur,94.11,170.14,198.72,144.01,2020,606.98
Village Council,Taj,888.612506686,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,72.94,186.93,229.35,253.72,2020,742.94
Village Council,Twichoma,408.782866957,South Tripura,Santirbazar,Bagafa,Bagafa,Kathaliacherra,18.74,96.34,82.8,130.67,2020,328.55
Village Council,Paribartan,1214.43749487,South Tripura,Belonia,Bagafa,Bagafa,Debipur,1.76,27.69,71.42,558.48,2020,659.35
Gram Panchayet,Sanghati,999.114289477,Sepahijala,Sonamura,Kathalai,Kathalai,Kathalia,152.08,293.56,268.37,126.53,2020,840.54
Gram Panchayet,Banakalayan,560.090779087,Sepahijala,Sonamura,Kathalai,Masima,Nirvoypur,99.24,266.27,115.83,33.99,2020,515.33
Village Council,Kokbang Motha,438.549315413,South Tripura,Santirbazar,Bagafa,Devipur,Kathaliacherra,13.89,37.27,48.32,186.42,2020,285.9
Village Council,Valasa,776.451286667,South Tripura,Santirbazar,Bagafa,Manpathar,South Takmachara,60.4,156.51,199.6,208.76,2020,625.27
Gram Panchayet,MBBKM,502.520168767,Sepahijala,Sonamura,Kathalai,Masima,Jatrapur,136.55,222.89,66.24,29.01,2020,454.69
Village Council,Patichari,1377.00627167,South Tripura,Santirbazar,Bagafa,Patichari,Patichhari,146.7,349.44,432.53,261.58,2020,1190.25
Village Council,Kamihumkrai,1231.93858827,South Tripura,Santirbazar,Bagafa,Devipur,South Takmachara,38.24,134.62,177.43,467.17,2020,817.46
Village Council,Takma,1823.70062033,South Tripura,Belonia,Bagafa,Manpathar,Takmacherra,112.65,369.7,450.35,483.18,2020,1415.88
Village Council,Yaprikta,1758.70186956,South Tripura,Belonia,Bagafa,Devipur,Debipur,9.07,81.22,145.75,771.74,2020,1007.78
Village Council,Sabujdeep,1349.79597252,Sepahijala,Sonamura,Kathalai,Jatrapur,Dasarath Bari,29.27,233.19,574.88,265.93,2020,1103.27
Village Council,Sonapur,477.951873531,Sepahijala,Sonamura,Kathalai,Dhanpur,Kalikhola,42.03,206.67,129.32,17.23,2020,395.25
,Janakalyan,488.747277659,Sepahijala,Sonamura,Melaghar,Kalakhet,,49.27,245.48,129.73,19.2,2020,443.68
,Agragami,508.719874497,Sepahijala,Sonamura,Melaghar,Kalakhet,,121.24,271.72,61.65,8.29,2020,462.9
Gram Panchayet,Harichand Humkrai,576.980486944,Sepahijala,Sonamura,Melaghar,Induria,Baniachara,22.25,253.25,188.35,32.81,2020,496.66
Village Council,Chandulkami,1048.45460114,Sepahijala,Sonamura,Melaghar,Induria,Chandul,65.93,351.24,362.54,104.37,2020,884.08
Gram Panchayet,Indra Kumar Para,634.393480741,Sepahijala,Sonamura,Melaghar,Bairagibazar,Bejimara,136.55,266.59,110.69,21.97,2020,535.8
,Ramapadapara,122.991213557,Sepahijala,Sonamura,Melaghar,Sonamara,,6.42,75.17,15.37,1.01,2020,97.97
Gram Panchayet,Matinagar,1617.82966655,Sepahijala,Sonamura,Boxanagar,Matinagar,Matinagar,162.67,1093.81,126.04,6.81,2020,1389.33
