GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,0.0,22.66,33.67,58.66,31.78,46.69,111.47,70.2,92.25,89.58,23.53,19.79,28.17,6.77,635.22
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2020,0.0,17.06,19.71,36.39,24.48,46.51,34.91,42.59,48.4,71.93,40.83,25.82,45.83,17.79,472.25
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2020,0.0,39.71,29.8,13.84,41.81,11.51,34.55,29.37,21.99,23.08,18.3,15.15,11.07,11.16,301.34
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2020,0.0,303.35,122.02,80.1,337.48,2.35,156.25,73.27,30.34,42.07,1.44,0.26,0.31,2.11,1151.35
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2020,0.0,28.79,50.26,47.19,44.37,175.44,90.66,47.1,47.26,91.97,62.78,73.58,119.11,48.44,926.95
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,0.0,87.23,95.59,52.94,96.47,24.58,143.16,58.31,43.78,64.03,11.99,6.92,8.93,6.54,700.47
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2020,0.0,111.46,133.23,98.31,163.05,75.58,223.21,105.41,83.89,137.08,52.12,54.91,42.7,22.51,1303.46
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2020,0.0,20.77,33.31,22.56,31.12,31.77,42.25,24.31,17.68,42.75,13.64,9.24,12.18,11.25,312.83
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2020,0.0,223.46,222.26,114.78,251.23,72.43,304.38,119.83,58.84,131.35,21.1,19.35,22.13,15.24,1576.38
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2020,0.0,30.95,26.83,41.42,18.01,44.15,31.65,41.19,111.72,61.07,119.66,80.6,64.19,53.1,724.54
