GP_VC,JFMC_Name,Area_Hect,District,Forest_Sub,Range,Beat,GP_VC_Name,Year,NoData (ha),Tropical Evergreen (ha),Semi Evergreen (ha),Moist Mixed Deciduous (ha),Mixed Deciduous (ha),Open/Other Land (ha),Bamboo (ha),Sal (ha),Rubber (ha),Teak (ha),Plantation (ha),Agriculture (ha),Urban / Builtup (ha),Waterbody (ha),Total_LULC_Area (ha)
Village Council,Sakya Adam,635.150082664,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2021,0.0,31.33,40.12,47.31,27.25,27.7,77.62,75.32,130.37,90.18,42.31,12.73,17.74,15.24,635.22
Village Council,Singharam Para,472.217903328,Unakoti,Kumarghat,Machmara,Bhati Machmara,Shibnagar,2021,0.0,22.28,17.02,39.98,16.46,35.77,22.48,45.73,61.36,77.61,55.58,19.2,32.86,25.92,472.25
Village Council,Maharaja Bir Bikram,301.40933774,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2021,0.0,23.92,35.75,16.01,32.19,17.12,42.4,21.24,25.92,29.96,24.18,11.79,13.06,7.8,301.34
Village Council,Rosomala Debbarma,1151.07275578,Khowai,Khowai,Tulashikhar,Gopalnagar,East Bachaibari,2021,0.0,176.85,157.83,78.01,275.23,7.54,253.13,71.27,51.73,63.55,8.44,1.37,1.37,5.03,1151.35
Village Council,Ramdula,927.132969742,Unakoti,Kumarghat,Machmara,Krishnatilla,Ramgunapara,2021,0.0,41.45,57.61,47.82,44.31,176.65,57.16,48.22,62.64,83.64,79.85,77.82,86.86,62.92,926.95
Village Council,Chandrakha,700.421516349,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2021,0.0,84.31,108.98,45.33,111.91,21.61,96.8,64.11,54.27,65.13,19.51,6.85,12.37,9.29,700.47
Village Council,Rangchak Balong,1303.40048878,Unakoti,Kumarghat,Kumarghat,Demdum,Demdum,2021,0.0,102.12,141.7,74.06,208.64,100.96,191.98,73.31,67.87,129.1,73.36,53.96,54.95,31.45,1303.46
Village Council,Chong Chong,312.830332951,Unakoti,Kumarghat,Machmara,Krishnatilla,South Dhanicherra,2021,0.0,20.4,32.93,24.72,27.28,32.49,21.63,22.1,22.75,36.65,23.79,13.25,21.31,13.53,312.83
Village Council,Sadhu Chandra Para,1576.61132203,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2021,0.0,184.55,254.68,112.29,224.75,71.42,200.79,132.23,108.19,148.32,49.68,20.64,40.64,28.2,1576.38
Village Council,Bidyabil,724.51563372,Khowai,Khowai,Tulashikhar,Asharambari,Bidyabil,2021,0.0,22.93,35.2,44.63,19.87,44.87,42.22,29.79,102.59,74.31,130.44,68.08,54.4,55.21,724.54
Village Council,Agarchandra Debbarma,921.805135517,Khowai,Khowai,Tulashikhar,Asharambari,West Karangicherra,2021,0.0,14.86,16.57,62.26,3.67,28.74,17.77,29.9,169.47,84.03,247.55,72.09,73.1,101.47,921.48
Village Council,Bhudha Valley,926.379673528,Unakoti,Kumarghat,Kumarghat,Betchhara,Deo-Velly,2021,0.0,91.48,129.43,73.07,94.52,90.54,67.65,61.61,51.15,101.05,52.27,26.73,54.27,32.77,926.54
Village Council,Kamalapur,527.282722812,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2021,0.0,17.3,17.02,40.9,9.82,38.94,28.47,39.12,79.66,80.46,75.21,24.58,29.69,46.13,527.3
Village Council,Egattor,359.81179785,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Karaicherra,2021,0.0,13.9,17.42,25.83,11.51,24.4,26.65,39.34,63.41,61.58,35.54,12.93,12.66,14.65,359.82
Village Council,Udandi,683.290242525,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nalkata,2021,0.0,11.78,18.33,52.65,9.18,84.98,32.59,33.52,86.3,81.26,85.29,45.54,72.29,69.57,683.28
Gram Panchayet,Sabujbanani,2352.47944122,Unakoti,Kumarghat,Kumarghat,Fatikroy,West Ratacherra,2021,0.0,31.94,71.42,129.35,55.18,339.7,329.26,126.63,204.82,332.17,264.89,231.22,158.73,77.37,2352.68
Village Council,Baghaicherra,162.066321456,Unakoti,Kumarghat,Pecharthal,Bagaichhara,Bagaicherra,2021,0.0,8.4,9.07,13.7,5.87,2.8,10.58,18.94,28.36,31.7,19.02,3.23,1.9,8.46,162.03
Village Council,Greengold,323.911678302,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2021,0.0,26.81,33.97,22.28,30.15,11.3,40.14,34.05,40.37,35.18,17.4,8.1,9.41,14.8,323.96
Village Council,Banabithi,415.124783572,Unakoti,Kumarghat,Kumarghat,Fatikroy,Deo-Velly,2021,0.0,32.67,38.32,30.24,33.68,32.83,31.44,29.7,32.21,43.88,25.64,13.02,29.99,41.35,414.97
Village Council,Khakchang,938.178997026,Unakoti,Kumarghat,Kumarghat,Demdum,Rajkandi,2021,0.0,51.0,65.58,57.76,99.76,55.48,189.81,64.75,76.12,113.61,63.78,43.25,30.26,26.93,938.09
Village Council,Ujan Baghaicherra,513.028385959,Unakoti,Kumarghat,Pecharthal,Pecharthal,Nabincherra,2021,0.0,13.52,20.78,46.06,11.11,43.18,24.24,38.03,53.24,86.23,67.74,30.68,37.79,40.33,512.93
Village Council,Sonarampara,368.807355837,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2021,0.0,13.84,14.19,28.64,7.66,18.0,19.11,35.28,75.05,61.17,44.36,13.68,19.11,18.82,368.91
Village Council,Kelthang Twisa,574.141475934,Unakoti,Kumarghat,Kumarghat,Demdum,Fatikcherre Dasarath Deb,2021,0.0,25.52,39.2,38.23,49.48,38.26,121.43,37.21,42.11,75.42,43.04,22.62,26.13,15.5,574.15
Gram Panchayet,Banasree,718.555953152,Unakoti,Kumarghat,Kumarghat,Fatikroy,Sonaimuri,2021,0.0,18.57,17.85,42.0,7.91,117.35,19.05,18.29,43.94,54.63,120.11,101.31,102.39,55.14,718.54
Village Council,Banaraj,850.922508223,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2021,0.0,78.43,103.06,73.59,91.24,33.86,143.04,80.3,97.6,79.5,26.29,9.22,19.31,15.58,851.02
Village Council,Sundarvan,668.296162471,Unakoti,Kumarghat,Kumarghat,Atharamuri,South Unakoti,2021,0.0,75.02,73.73,50.59,87.21,44.47,98.3,50.91,54.62,41.44,22.23,27.06,27.95,14.75,668.28
Village Council,Gobindabari,1253.15229228,Unakoti,Kumarghat,Pecharthal,Nabinchhara,Sonarampara,2021,0.0,25.22,33.91,100.08,18.24,120.2,50.59,89.32,181.59,182.92,163.34,85.41,119.15,83.09,1253.06
Village Council,Judamonipara,1356.32444637,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2021,0.0,142.86,139.21,102.07,210.93,37.14,345.42,83.45,83.09,111.0,43.64,16.55,19.15,21.49,1356.0
Village Council,Bru-Kami,333.99113139,Unakoti,Kumarghat,Pecharthal,Andherchhara,Andhar Cherra,2021,0.0,50.56,53.69,24.36,56.17,18.94,39.43,22.45,18.96,26.6,7.28,4.13,6.8,4.59,333.96
Village Council,Greenland,596.381103532,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2021,0.0,93.44,93.69,42.48,91.88,29.36,81.15,45.65,36.13,43.78,11.12,5.17,10.68,11.87,596.4
Village Council,Rachiline,713.299101114,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2021,0.0,23.49,38.37,53.9,36.72,43.1,182.55,44.86,60.39,100.97,51.77,27.93,28.39,21.05,713.49
Gram Panchayet,Kalagang,261.370190606,North Tripura,Dharmanagar,Panisagar,Jalebassa,Pekucherra,2021,0.0,4.13,4.58,15.69,1.38,29.0,8.78,11.63,56.41,29.69,41.52,16.06,28.68,13.72,261.27
Village Council,Mundaline,822.766094207,Unakoti,Kailasahar,Chandipur,Dhanbilash,Golakpur,2021,0.0,9.36,22.99,51.27,12.65,85.8,107.35,40.83,93.29,139.61,110.02,67.4,49.44,32.96,822.97
Village Council,Phaiko,429.562075015,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2021,0.0,36.79,43.4,35.4,37.47,19.19,26.05,42.73,43.65,59.8,34.17,10.88,20.32,19.7,429.55
Village Council,Seba Ch. Para,1317.22181754,Unakoti,Kumarghat,Pecharthal,Andherchhara,East Andharcherra,2021,0.0,39.39,62.97,92.0,42.93,101.58,114.1,110.72,262.45,198.83,125.77,59.24,52.87,54.5,1317.35
Village Council,Tailenbari,600.347652103,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2021,0.0,87.19,103.36,39.32,113.9,24.08,54.95,44.71,34.8,44.74,17.07,8.16,14.63,13.5,600.41
Gram Panchayet,Moracherra,1034.8839988,Unakoti,Kumarghat,Pecharthal,Andherchhara,West Tilthai,2021,0.0,108.49,122.85,79.11,130.91,71.77,134.61,79.44,80.52,93.93,41.45,26.51,36.93,28.28,1034.8
NP,C.H Para JFMC,816.793510299,North Tripura,Dharmanagar,Panisagar,Panisagar,Panisagar NP,2021,0.0,5.07,6.42,42.62,1.35,124.06,8.11,19.46,91.05,55.63,123.91,103.79,190.46,44.9,816.83
Village Council,Seisimdung,651.309870243,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2021,0.0,75.71,91.66,52.17,79.41,26.15,47.09,61.27,49.45,87.67,31.68,10.55,19.52,19.0,651.33
Gram Panchayet,Buthuhill,1078.55463233,Unakoti,Kailasahar,Gournagar,Jalai,Jalai,2021,0.0,65.55,87.98,60.89,74.27,140.33,87.86,63.64,69.59,81.19,82.16,89.09,81.6,94.41,1078.56
Gram Panchayet,West Bilthai,353.460086493,North Tripura,Dharmanagar,Panisagar,Panisagar,East Tilthai,2021,0.0,2.93,4.05,18.55,1.36,57.89,6.78,11.97,70.77,32.83,41.72,38.94,50.31,15.42,353.52
Village Council,Saitha,609.802099703,North Tripura,Dharmanagar,Panisagar,Indurail,Indurail,2021,0.0,54.6,67.43,52.04,61.49,25.57,54.14,55.99,55.6,74.82,43.16,13.63,26.43,24.89,609.79
Gram Panchayet,Shyamprasad Mukherjee,516.930446799,North Tripura,Dharmanagar,Panisagar,Panisagar,Deocherra,2021,0.0,3.06,7.01,24.91,1.16,85.42,6.92,16.79,60.19,48.29,79.44,73.83,92.58,17.43,517.03
Gram Panchayet,Puspamanipara,615.20214621,North Tripura,Dharmanagar,Panisagar,Indurail,South Padmabill,2021,0.0,6.22,6.47,36.11,1.89,105.09,8.57,16.39,59.76,56.17,89.02,86.09,109.66,33.5,614.94
Gram Panchayet,Kami Humkarai,490.434373141,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2021,0.0,41.36,61.51,36.79,59.46,22.99,74.98,43.16,45.53,48.04,17.84,10.38,16.12,12.46,490.62
Village Council,Shivbari,982.857221167,Unakoti,Kailasahar,Gournagar,Jalai,Unokoti,2021,0.0,129.41,178.38,58.47,185.47,54.45,80.15,71.27,56.62,84.67,28.38,12.69,27.27,15.44,982.67
Gram Panchayet,Phaikakham,516.631324173,North Tripura,Dharmanagar,Panisagar,Krishnapur,West Tilthai,2021,0.0,65.35,88.56,33.89,73.91,19.13,64.23,46.26,41.05,46.98,13.0,4.74,8.58,10.99,516.67
Village Council,Mannei,984.501448573,North Tripura,Dharmanagar,Panisagar,Indurail,Noagaon,2021,0.01,93.27,138.29,85.28,108.21,29.22,127.21,92.56,75.43,128.02,47.32,12.09,20.0,27.66,984.57
Village Council,Reang Para,299.708030642,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,0.0,14.71,30.82,23.5,22.07,18.83,37.97,20.75,24.68,35.27,22.0,8.42,17.35,23.52,299.89
Village Council,Eden Rahuan,440.036857768,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2021,0.0,40.49,54.41,36.52,46.68,15.09,66.65,43.01,36.07,60.06,17.6,4.87,6.62,11.85,439.92
Gram Panchayet,Lumbockcherra,311.966248994,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2021,0.0,27.17,26.67,26.85,23.35,23.33,11.45,22.89,29.49,33.46,33.1,11.43,30.3,12.45,311.94
Village Council,Balidhum,472.637343349,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,0.0,81.03,88.39,29.61,85.93,19.23,58.31,31.39,24.33,30.97,6.53,2.72,9.52,4.09,472.05
Village Council,Tivalian,421.476606519,North Tripura,Dharmanagar,Panisagar,Bagbasa,Zaithang,2021,0.0,35.23,50.48,34.97,35.95,14.06,42.82,41.21,38.5,63.99,23.98,6.28,8.98,25.13,421.58
Village Council,Bireshpara,463.313933223,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,0.0,29.08,56.93,36.99,47.39,17.96,62.99,40.48,42.37,54.24,26.66,7.44,11.75,29.55,463.83
Gram Panchayet,Parasen,574.881276116,North Tripura,Dharmanagar,Panisagar,Bagbasa,Bagbasa,2021,0.0,16.35,19.12,38.59,13.34,65.17,18.98,26.84,44.65,48.89,85.77,64.32,83.66,49.22,574.9
Village Council,Baithangbari,639.104807769,North Tripura,Dharmanagar,Panisagar,Halflong,Balidhum,2021,0.0,68.92,80.32,52.87,60.92,25.69,94.57,52.96,60.83,55.73,27.02,9.51,22.07,27.6,639.01
Gram Panchayet,Balicherra,865.121270544,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Sanicherra,2021,0.0,32.73,41.9,59.96,26.98,90.58,44.58,51.58,65.62,98.28,94.1,119.1,86.2,53.58,865.19
Village Council,Nabajiban,959.020093319,North Tripura,Dharmanagar,Dharmanagar,Sanichhara,Balichara,2021,0.0,30.53,49.19,91.67,25.15,49.37,112.26,77.26,145.1,160.3,95.36,33.88,35.44,53.55,959.06
Gram Panchayet,Banaphul,557.619881209,North Tripura,Dharmanagar,Dharmanagar,Churaibari,Laxminagar,2021,0.0,3.17,5.44,26.25,2.23,109.82,9.19,11.53,33.41,46.97,74.64,114.13,91.54,29.1,557.42
Gram Panchayet,Alochaya,420.228033664,North Tripura,Dharmanagar,Dharmanagar,Churaibari,North Fulbari,2021,0.0,4.56,3.58,25.03,1.55,55.07,3.45,9.36,13.98,24.95,87.32,43.76,100.74,46.77,420.12
Village Council,Pathaliaghat,389.319749357,Sepahijala,Jampuijala,Charilam,Pramodnagar,Pathaliaghat,2021,0.0,1.16,2.47,16.25,0.31,51.23,4.7,5.15,116.29,21.05,42.22,47.49,62.08,18.99,389.39
Village Council,Chelakappa,732.941296755,Gomati,Karbook,Silachari,Bagachatal,Kaptali,2021,0.03,36.09,63.17,50.61,60.67,61.8,79.47,59.39,39.02,106.02,48.97,64.84,31.55,31.28,732.91
Village Council,Kaptali,944.220080858,Gomati,Karbook,Silachari,Bagachatal,Bagachatal,2021,0.0,88.48,153.02,53.6,181.96,17.63,159.33,107.88,39.85,105.02,13.6,10.22,5.56,7.88,944.03
Village Council,Pothachari,468.669364559,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2021,0.0,15.67,26.83,30.26,19.62,46.64,50.73,43.42,34.85,75.55,45.98,39.26,22.6,17.24,468.65
Village Council,Deshram khamar Para,357.218753893,Gomati,Karbook,Silachari,Ghorakappa,Ghorakappa,2021,0.0,41.74,58.79,17.5,69.76,6.85,52.79,36.53,18.91,33.25,8.71,5.41,3.76,3.14,357.14
Village Council,Nabachandra Para,879.662803971,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2021,0.0,72.18,127.44,55.91,137.2,25.89,165.77,96.61,43.83,106.63,17.49,12.85,9.94,8.04,879.78
Village Council,Annabandhu Para,972.737780041,Gomati,Karbook,Silachari,Ghorakappa,Suknachari,2021,0.0,58.24,105.68,52.86,103.18,64.91,131.54,90.19,73.62,131.93,56.03,54.2,29.24,21.02,972.64
Village Council,New Gunjalima,870.622779731,Gomati,Sabroom,Silachari,Ghorakappa,Chalita Bankul,2021,0.0,64.86,117.46,58.29,127.36,28.43,174.61,97.6,45.27,110.74,16.29,12.1,10.24,7.3,870.55
Village Council,Meghabarna Para,775.524081481,Gomati,Sabroom,Silachari,Suknachari,Chalita Bankul,2021,0.0,63.58,105.92,55.37,121.21,24.69,159.23,80.22,45.51,83.62,12.75,9.42,7.28,6.84,775.64
Village Council,Hazachari,322.078744501,Gomati,Karbook,Silachari,Suknachari,Hajachari,2021,0.0,41.17,46.98,16.81,66.29,7.15,54.3,30.3,21.76,21.14,5.32,3.38,2.26,5.12,321.98
Village Council,Larong,1085.77305712,Gomati,Karbook,Silachari,Suknachari,Hajachari,2021,0.0,44.94,66.07,50.55,65.78,134.93,94.68,69.09,81.52,114.34,110.4,155.36,50.02,48.18,1085.86
Village Council,Silaguha,579.501152069,Gomati,Karbook,Silachari,Silachari,Silachari,2021,0.0,34.98,43.98,27.14,39.98,74.45,54.67,30.45,38.36,51.33,49.73,75.93,31.43,27.1,579.53
Village Council,Barbil,565.740264459,Gomati,Karbook,Silachari,Ailmara,Barabil,2021,0.0,63.43,86.5,31.51,94.37,27.85,77.89,44.18,29.12,46.65,18.46,19.83,13.86,12.07,565.72
Village Council,Wasna,634.235678852,Gomati,Karbook,Silachari,Ailmara,Barabil,2021,0.0,3.79,6.68,25.76,2.05,121.08,17.24,19.9,36.82,55.72,92.64,150.15,56.25,46.1,634.18
Village Council,Aloran,399.439056438,Gomati,Karbook,Silachari,Ailmara,Ailmara,2021,0.0,32.72,54.56,25.93,54.19,18.87,58.49,39.06,21.14,51.85,14.6,11.74,9.51,6.87,399.53
Village Council,Chakma Augmuli,472.847394973,Gomati,Karbook,Silachari,Ailmara,Ailmara,2021,0.01,3.38,5.34,18.64,1.79,88.67,14.93,13.11,32.46,34.23,77.69,98.86,41.88,41.72,472.71
Village Council,Patichari,658.245339144,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2021,0.0,21.51,40.86,36.69,34.42,82.79,48.15,37.37,36.8,82.13,71.26,92.64,36.09,37.68,658.39
Village Council,Bolong Naithok,1229.44598757,Gomati,Karbook,Karbook,Bhagawantilla,Patichari,2021,0.0,47.9,86.62,75.69,77.68,124.52,139.46,84.52,87.76,182.27,127.81,102.38,51.66,41.09,1229.36
Village Council,Nabajagaran,404.626922003,Gomati,Karbook,Karbook,Bhagawantilla,Jalaya,2021,0.0,6.31,11.11,26.64,6.09,39.24,48.16,29.62,51.82,55.46,51.39,36.5,21.9,20.34,404.58
Village Council,Pilonjoy Para,995.858857635,Gomati,Karbook,Karbook,Bhagawantilla,Ichachari,2021,0.0,13.26,24.01,65.49,15.11,101.46,117.82,75.65,138.92,127.08,115.29,107.62,55.22,38.92,995.85
Village Council,Khumpui,669.071187762,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2021,0.0,43.82,74.72,44.87,84.32,20.36,132.71,49.34,42.0,91.36,50.09,9.7,11.6,14.1,668.99
Village Council,Debi chari,1005.52202026,Gomati,Karbook,Karbook,Jalaya Bazar,East Karbook,2021,0.0,56.41,84.25,54.64,98.51,113.7,111.05,84.24,71.56,112.39,71.41,80.05,38.24,29.12,1005.57
Village Council,Jangidas Para,838.188824963,Gomati,Karbook,Karbook,Bairagidokan,Jenta Twisa,2021,0.0,13.72,21.98,59.42,18.3,95.16,105.41,73.7,74.2,111.17,93.85,88.06,40.46,42.68,838.11
Village Council,Durparai Para,680.370956196,Gomati,Karbook,Karbook,Bairagidokan,South Ekchari,2021,0.0,23.44,39.16,37.96,51.5,39.34,125.74,50.69,49.25,90.48,89.47,37.99,21.31,23.95,680.28
Village Council,Yaprikwtal,1241.59939355,Gomati,Santirbazar,Karbook,Jalaya Bazar,Lawgangsom,2021,0.0,81.64,130.74,68.95,214.93,35.07,292.51,106.87,83.76,131.95,59.94,11.51,15.16,8.62,1241.65
Village Council,Twibaglai,1567.12188859,Gomati,Karbook,Tirthamukh,Tirthamukh,East Manikya Dewan,2021,0.0,206.92,271.6,84.27,342.57,56.74,211.53,137.1,64.59,131.7,20.23,18.11,12.44,9.54,1567.34
Village Council,Sabuj banani,364.794298751,Gomati,Karbook,Karbook,Jatanbari,West Ekchari,2021,0.0,15.89,24.09,23.27,29.71,20.99,67.7,29.22,24.01,46.05,39.53,17.64,10.76,15.92,364.78
Village Council,Jugendra Para,1243.7821286,Gomati,Karbook,Karbook,Bairagidokan,East Manikya Dewan,2021,0.0,39.45,66.76,83.32,54.61,155.82,156.72,107.8,98.01,160.93,105.52,110.2,65.27,39.12,1243.53
Village Council,Hamkrai,781.155490209,Gomati,Karbook,Karbook,Lowgang,Lowgang,2021,0.0,52.71,84.77,44.53,107.92,27.44,136.54,57.92,37.87,90.36,68.52,28.28,21.7,22.7,781.26
Village Council,Satarai Uchoipara,264.794803307,Gomati,Karbook,Karbook,Lowgang,South Chellagang,2021,0.0,15.45,23.14,15.16,31.28,17.94,38.46,20.45,13.12,33.6,25.91,11.5,9.44,9.41,264.86
Village Council,Mandirghat Para,449.738683188,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2021,0.0,47.65,62.43,26.21,59.57,18.5,51.94,36.55,20.33,45.36,13.87,6.41,9.2,51.49,449.51
Village Council,Rasnadhan Para,713.896619349,Gomati,Amarpur,Tirthamukh,Mandirghat,New Gomati,2021,0.0,93.0,123.37,39.37,98.4,41.62,74.46,50.07,35.37,70.4,30.09,9.77,24.71,23.45,714.08
Village Council,Santipara,640.040727478,Gomati,Karbook,Karbook,Jatanbari,Jatanbari,2021,0.0,21.02,32.05,41.69,24.84,40.58,77.98,47.73,65.42,91.2,79.45,31.44,43.64,43.12,640.16
,Baiddya Charri,436.907328333,Gomati,Amarpur,Tirthamukh,Tirthamukh,,2021,0.0,22.2,35.99,28.16,27.55,32.84,63.56,43.46,38.27,63.07,28.84,23.44,17.44,12.05,436.87
Village Council,Aaranga,796.82644337,Gomati,Amarpur,Tirthamukh,Tirthamukh,New Gomati,2021,0.0,89.66,112.6,52.99,101.13,30.33,94.61,64.68,69.21,87.53,43.48,11.52,18.73,20.16,796.63
Village Council,Swapner Sabuj,750.528621489,Gomati,Karbook,Karbook,Jatanbari,North Ekchari,2021,0.0,10.19,22.83,37.82,14.63,90.86,84.89,36.78,66.82,90.06,103.81,73.22,46.4,72.16,750.47
Village Council,Labarai Para,1034.00651863,Gomati,Amarpur,Amarpur,Nutanbazar,North Chellagang,2021,0.0,31.18,49.17,57.5,33.4,93.6,129.12,63.5,88.14,128.52,120.4,83.61,65.59,90.32,1034.05
Village Council,Raishyabari Nokthai,251.929846122,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Narikal Kunja,2021,0.0,2.81,5.46,11.27,1.92,19.1,18.59,11.52,40.1,25.39,26.54,20.87,15.36,52.9,251.83
Village Council,Swam Twisa,692.711664764,Gomati,Amarpur,Tirthamukh,Tirthamukh,Natunbazar,2021,0.0,99.82,123.38,33.08,116.9,18.02,62.64,46.31,27.7,63.64,25.74,7.27,13.74,54.35,692.59
Village Council,Purba Potacherra,622.171687565,Dhalai,Gandacherra,Gonda Twisa,Potacherra,East Potacherra,2021,0.0,27.61,44.29,39.38,36.69,63.69,60.55,45.24,35.85,105.3,59.37,66.15,24.82,13.24,622.18
Village Council,Bhomracherra,948.295548142,Gomati,Amarpur,Amarpur,Nutanbazar,Natunbazar,2021,0.0,56.26,87.03,55.18,72.47,67.9,82.46,51.62,44.35,115.72,111.31,71.28,66.41,66.22,948.21
Village Council,Khasmai,790.349335796,Gomati,Amarpur,Amarpur,Kalajhari,Natunbazar,2021,0.0,102.19,153.64,38.96,153.11,36.14,81.49,60.17,22.35,74.77,16.76,18.27,13.15,19.45,790.45
Village Council,Indrakishore,495.296124101,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raishyabari,2021,0.0,6.62,12.17,26.92,5.77,69.47,41.48,24.71,47.94,57.01,55.29,72.65,45.07,30.32,495.42
Village Council,Chaplling Cherra,614.919744566,Gomati,Karbook,Tirthamukh,Mandirghat,Mukhchari,2021,0.0,62.55,88.7,33.19,103.05,17.86,72.54,52.67,24.92,51.98,15.24,4.9,6.47,80.73,614.8
Village Council,Khedarnal,929.865058788,Gomati,Amarpur,Amarpur,Nutanbazar,Kedarnal,2021,0.0,67.24,103.39,56.2,95.17,42.28,123.35,61.67,63.94,123.58,90.18,42.09,31.59,29.26,929.94
Village Council,Madhanjoy,345.175100157,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2021,0.0,23.22,47.76,17.68,44.76,30.95,36.4,27.01,8.49,43.83,15.05,39.05,8.11,3.05,345.36
Village Council,Khapang Bodol,368.652992866,Dhalai,Gandacherra,Gonda Twisa,Raishyabari Proper,Raima,2021,0.0,48.88,68.37,21.82,72.46,14.06,64.28,26.02,6.97,35.61,3.67,3.05,1.78,1.47,368.44
Village Council,Paschim Potacherra,1426.00641418,Dhalai,Gandacherra,Gonda Twisa,Potacherra,West Potacherra,2021,0.0,8.9,12.88,25.7,4.62,44.43,22.06,24.79,48.26,48.05,51.03,43.55,41.27,1050.44,1425.98
Village Council,Purba Duluma,1590.26118375,Gomati,Amarpur,Amarpur,Nutanbazar,East Duluma,2021,0.0,94.81,156.26,87.31,166.95,62.21,307.68,119.89,112.25,179.79,118.7,107.4,39.86,36.97,1590.08
Village Council,Lebacharamukh,1732.47861938,Gomati,Amarpur,Amarpur,Nutanbazar,Bhomracherra,2021,0.0,341.99,368.23,69.16,455.86,36.4,156.35,84.33,34.65,86.3,27.55,25.08,13.27,33.82,1732.99
Village Council,Banbihar EDC,264.442571481,Dhalai,Gandacherra,Gonda Twisa,Dhalajari,Nakyachara,2021,0.0,3.84,3.38,8.3,3.5,8.05,1.2,4.23,2.02,8.26,13.8,6.3,4.79,196.79,264.46
Gram Panchayet,Khakchang,805.035194515,Gomati,Amarpur,Amarpur,Amarpur,Rangkang,2021,0.0,33.48,58.92,43.29,32.12,34.05,118.98,62.93,101.29,107.12,97.54,49.41,33.54,32.21,804.88
Village Council,Khetradhan Rouwaja Para,2219.57594013,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Raima,2021,0.0,35.0,51.94,78.36,30.76,149.9,87.64,85.6,107.55,152.45,137.92,115.44,81.98,1105.23,2219.77
Village Council,Chanduk Twisa,465.570551126,Gomati,Amarpur,Amarpur,Dalak,Dalak,2021,0.0,8.42,18.7,24.66,12.05,48.37,55.15,26.92,50.53,52.05,56.8,50.42,36.81,24.78,465.66
Village Council,South Narikel Kunja,940.544937428,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Thakurcherra,2021,0.0,20.44,21.78,41.07,11.83,38.5,30.8,37.84,39.79,72.2,67.22,34.29,19.21,505.62,940.59
Village Council,Chandidas,792.823624669,Dhalai,Gandacherra,Gonda Twisa,Bhagirath Para,Tuichakma,2021,0.0,27.64,45.3,46.58,37.31,78.76,77.59,42.98,31.72,78.37,86.54,92.42,34.96,112.95,793.12
Village Council,Sarbajoy Para,2683.29822529,Gomati,Amarpur,Amarpur,Dalak,Paharpur,2021,0.0,379.51,374.85,117.8,624.58,103.38,332.35,141.6,99.75,202.06,110.93,96.9,44.62,54.52,2682.85
Village Council,Tawbera,757.583353185,Gomati,Amarpur,Amarpur,Amarpur,Rajkang,2021,0.0,41.76,49.04,48.12,16.98,48.56,54.19,38.27,69.22,93.57,129.97,55.26,47.53,65.05,757.52
Village Council,North Narikel Kunja,766.144163399,Dhalai,Gandacherra,Gonda Twisa,Tuichakma,Tuichakma,2021,0.0,17.77,31.76,45.47,19.41,89.07,72.21,44.27,56.27,87.92,71.33,53.31,40.8,136.26,765.85
Gram Panchayet,Tausiha Moin RF,516.12608214,Gomati,Amarpur,Amarpur,Kalajhari,West Malbasa,2021,0.0,22.45,44.09,30.97,43.47,43.03,66.27,34.28,32.98,51.87,47.08,41.75,34.7,23.27,516.21
